Date,Price
02.01.2018,66.65
03.01.2018,67.85
04.01.2018,68.73
05.01.2018,68.01
08.01.2018,68.48
09.01.2018,69.08
10.01.2018,69.79
11.01.2018,70.36
12.01.2018,69.64
15.01.2018,70.31
16.01.2018,69.4
17.01.2018,69.19
18.01.2018,69.48
19.01.2018,68.56
22.01.2018,69.32
23.01.2018,69.81
24.01.2018,69.91
25.01.2018,71.08
26.01.2018,70.08
29.01.2018,68.41
30.01.2018,67.78
31.01.2018,67.78
01.02.2018,68.6
02.02.2018,67.45
05.02.2018,67.69
06.02.2018,66.75
07.02.2018,65.74
08.02.2018,64.26
09.02.2018,63.04
12.02.2018,62.2
13.02.2018,61.94
14.02.2018,62.29
15.02.2018,62.86
16.02.2018,64.3
19.02.2018,64.95
20.02.2018,64.68
21.02.2018,64.81
22.02.2018,66.12
23.02.2018,67.04
26.02.2018,67.96
27.02.2018,67.59
28.02.2018,66.08
01.03.2018,64.23
02.03.2018,64.26
05.03.2018,65.78
06.03.2018,65.67
07.03.2018,65.09
08.03.2018,63.87
09.03.2018,65.19
12.03.2018,64.53
13.03.2018,64.2
14.03.2018,63.61
15.03.2018,63.67
16.03.2018,64.68
19.03.2018,64.82
20.03.2018,66
21.03.2018,68.15
22.03.2018,68.98
23.03.2018,69.03
26.03.2018,68.81
27.03.2018,68.63
28.03.2018,68.13
29.03.2018,69.02
03.04.2018,69.02
04.04.2018,66.04
05.04.2018,66.54
06.04.2018,66.51
09.04.2018,68.19
10.04.2018,70.67
11.04.2018,72.74
12.04.2018,71.44
13.04.2018,73.18
16.04.2018,72.05
17.04.2018,71.71
18.04.2018,73.73
19.04.2018,74.85
20.04.2018,74.62
23.04.2018,74.54
24.04.2018,75.86
25.04.2018,73.79
26.04.2018,75.39
27.04.2018,75.33
30.04.2018,75.92
01.05.2018,74.85
02.05.2018,73.14
03.05.2018,73.45
04.05.2018,74.75
08.05.2018,74.16
09.05.2018,77.6
10.05.2018,77.59
11.05.2018,77.37
14.05.2018,78.17
15.05.2018,78.94
16.05.2018,78.19
17.05.2018,80.09
18.05.2018,78.38
21.05.2018,78.34
22.05.2018,80.42
23.05.2018,78.69
24.05.2018,78.9
25.05.2018,76.6
29.05.2018,74.51
30.05.2018,75.89
31.05.2018,76.45
01.06.2018,74.54
04.06.2018,73.41
05.06.2018,72.91
06.06.2018,73.23
07.06.2018,75.23
08.06.2018,75.11
11.06.2018,74.58
12.06.2018,74.86
13.06.2018,75.07
14.06.2018,74.77
15.06.2018,72.02
18.06.2018,74.87
19.06.2018,74.92
20.06.2018,74.25
21.06.2018,72.87
22.06.2018,73.67
25.06.2018,72.82
26.06.2018,73.58
27.06.2018,76.09
28.06.2018,76.26
29.06.2018,77.44
02.07.2018,76.71
03.07.2018,75.87
04.07.2018,76.99
05.07.2018,77.09
06.07.2018,74.98
09.07.2018,77.08
10.07.2018,77.8
11.07.2018,75.35
12.07.2018,72.11
13.07.2018,74.11
16.07.2018,71.03
17.07.2018,70.87
18.07.2018,70.52
19.07.2018,71.94
20.07.2018,71.99
23.07.2018,73.45
24.07.2018,73.53
25.07.2018,73.67
26.07.2018,74.51
27.07.2018,74.84
30.07.2018,74.99
31.07.2018,74.16
01.08.2018,72.28
02.08.2018,72.95
03.08.2018,72.48
06.08.2018,72.51
07.08.2018,72.31
08.08.2018,70.71
09.08.2018,70.55
10.08.2018,71
13.08.2018,70.62
14.08.2018,70.77
15.08.2018,68.38
16.08.2018,69.21
17.08.2018,70.14
20.08.2018,71.11
21.08.2018,71.65
22.08.2018,72.96
23.08.2018,73.73
24.08.2018,74.41
27.08.2018,74.41
28.08.2018,75.91
29.08.2018,76.07
30.08.2018,77.05
31.08.2018,76.94
03.09.2018,77.81
04.09.2018,77.51
05.09.2018,76.68
06.09.2018,75.67
07.09.2018,75.55
10.09.2018,76.77
11.09.2018,78.22
12.09.2018,80.02
13.09.2018,77.66
14.09.2018,77.87
17.09.2018,78.22
18.09.2018,79.25
19.09.2018,79.43
20.09.2018,79.03
21.09.2018,78.9
24.09.2018,80.89
25.09.2018,82.21
26.09.2018,81.87
27.09.2018,81.54
28.09.2018,82.72
01.10.2018,84.94
02.10.2018,85.63
03.10.2018,85.45
04.10.2018,86.07
05.10.2018,85.12
08.10.2018,84.22
09.10.2018,85.16
10.10.2018,83.82
11.10.2018,81.35
12.10.2018,80.71
15.10.2018,80.91
